Time_[s],Count_Rate_Channel_1_[kCounts/s]
0.83497,408.00000
0.83597,416.00000
0.83697,362.00000
0.83797,374.00000
0.83897,327.00000
0.83997,378.00000
0.84097,377.00000
0.84197,380.00000
0.84297,385.00000
0.84398,377.00000
0.84498,398.00000
0.84598,403.00000
0.84698,372.00000
0.84798,391.00000
0.84898,340.00000
0.84998,397.00000
0.85098,348.00000
0.85199,357.00000
0.85299,349.00000
0.85399,384.00000
0.85499,355.00000
0.85599,374.00000
0.85699,323.00000
0.85799,368.00000
0.85899,363.00000
0.85999,350.00000
0.86100,358.00000
0.86200,360.00000
0.86300,382.00000
0.86400,425.00000
0.86500,406.00000
0.86600,420.00000
0.86700,402.00000
0.86800,376.00000
0.86900,382.00000
0.87001,405.00000
0.87101,424.00000
0.87201,400.00000
0.87301,384.00000
0.87401,427.00000
0.87501,381.00000
0.87601,400.00000
0.87701,387.00000
0.87802,392.00000
0.87902,396.00000
0.88002,410.00000
0.88102,401.00000
0.88202,418.00000
0.88302,432.00000
0.88402,446.00000
0.88502,463.00000
0.88602,462.00000
0.88703,458.00000
0.88803,464.00000
0.88903,467.00000
0.89003,464.00000
0.89103,481.00000
0.89203,433.00000
0.89303,569.00000
0.89403,694.00000
0.89504,652.00000
0.89604,685.00000
0.89704,703.00000
0.89804,641.00000
0.89904,619.00000
0.90004,679.00000
0.90104,886.00000
0.90204,919.00000
0.90304,967.00000
0.90405,893.00000
0.90505,961.00000
0.90605,1096.00000
0.90705,1092.00000
0.90805,1041.00000
0.90905,856.00000
0.91005,1022.00000
0.91105,695.00000
0.91205,721.00000
0.91306,654.00000
0.91406,507.00000
0.91506,559.00000
0.91606,524.00000
0.91706,487.00000
0.91806,590.00000
0.91906,522.00000
0.92006,503.00000
0.92107,555.00000
0.92207,595.00000
0.92307,901.00000
0.92407,846.00000
0.92507,719.00000
0.92607,913.00000
0.92707,794.00000
0.92807,717.00000
0.92907,622.00000
0.93008,608.00000
0.93108,585.00000
0.93208,590.00000
0.93308,515.00000
0.93408,481.00000
0.93508,487.00000
0.93608,487.00000
0.93708,537.00000
0.93808,541.00000
0.93909,493.00000
0.94009,484.00000
0.94109,461.00000
0.94209,479.00000
0.94309,451.00000
0.94409,446.00000
0.94509,409.00000
0.94609,413.00000
0.94710,443.00000
0.94810,421.00000
0.94910,451.00000
0.95010,444.00000
0.95110,416.00000
0.95210,422.00000
0.95310,440.00000
0.95410,449.00000
0.95510,406.00000
0.95611,421.00000
0.95711,428.00000
0.95811,394.00000
0.95911,459.00000
0.96011,471.00000
0.96111,409.00000
0.96211,431.00000
0.96311,398.00000
0.96411,398.00000
0.96512,388.00000
0.96612,429.00000
0.96712,436.00000
0.96812,393.00000
0.96912,554.00000
0.97012,529.00000
0.97112,532.00000
0.97212,440.00000
0.97313,414.00000
0.97413,386.00000
0.97513,402.00000
0.97613,353.00000
0.97713,367.00000
0.97813,421.00000
0.97913,384.00000
0.98013,419.00000
0.98113,382.00000
0.98214,358.00000
0.98314,391.00000
0.98414,394.00000
0.98514,400.00000
0.98614,392.00000
0.98714,401.00000
0.98814,415.00000
0.98914,395.00000
0.99015,362.00000
0.99115,371.00000
0.99215,416.00000
0.99315,383.00000
0.99415,423.00000
0.99515,397.00000
0.99615,423.00000
0.99715,361.00000
0.99815,389.00000
0.99916,379.00000
1.00116,430.00000
1.00216,354.00000
1.00316,363.00000
1.00416,390.00000
1.00516,353.00000
1.00616,392.00000
1.00716,349.00000
1.00817,384.00000
1.00917,387.00000
1.01017,398.00000
1.01117,378.00000
1.01217,369.00000
1.01317,387.00000
1.01417,394.00000
1.01517,394.00000
1.01618,396.00000
1.01718,373.00000
1.01818,395.00000
1.01918,378.00000
1.02018,397.00000
1.02118,410.00000
1.02218,402.00000
1.02318,438.00000
1.02418,424.00000
1.02519,458.00000
1.02619,420.00000
1.02719,387.00000
1.02819,372.00000
1.02919,376.00000
1.03019,427.00000
1.03119,392.00000
1.03219,383.00000
1.03319,402.00000
1.03420,411.00000
1.03520,389.00000
1.03620,415.00000
1.03720,424.00000
1.03820,391.00000
1.03920,393.00000
1.04020,398.00000
1.04120,346.00000
1.04221,380.00000
1.04321,370.00000
1.04421,371.00000
1.04521,411.00000
1.04621,406.00000
1.04721,433.00000
1.04821,395.00000
1.04921,382.00000
1.05021,400.00000
1.05122,395.00000
1.05222,374.00000
1.05322,415.00000
1.05422,436.00000
1.05522,400.00000
1.05622,371.00000
1.05722,388.00000
1.05822,400.00000
1.05922,368.00000
1.06023,421.00000
1.06123,404.00000
1.06223,406.00000
1.06323,416.00000
1.06423,413.00000
1.06523,456.00000
1.06623,425.00000
1.06723,441.00000
1.06824,425.00000
1.06924,403.00000
1.07024,405.00000
1.07124,378.00000
1.07224,370.00000
1.07324,417.00000
1.07424,386.00000
1.07524,367.00000
1.07624,403.00000
1.07725,395.00000
1.07825,393.00000
1.07925,356.00000
1.08025,375.00000
1.08125,380.00000
1.08225,392.00000
1.08325,400.00000
1.08425,474.00000
1.08526,604.00000
1.08626,537.00000
1.08726,442.00000
1.08826,426.00000
1.08926,379.00000
1.09026,448.00000
1.09126,401.00000
1.09226,379.00000
1.09326,359.00000
1.09427,391.00000
1.09527,348.00000
1.09627,397.00000
1.09727,376.00000
1.09827,370.00000
1.09927,365.00000
1.10027,381.00000
1.10127,362.00000
1.10227,389.00000
1.10328,378.00000
1.10428,387.00000
1.10528,378.00000
1.10628,424.00000
1.10728,424.00000
1.10828,426.00000
1.10928,357.00000
1.11028,375.00000
1.11129,413.00000
1.11229,437.00000
1.11329,470.00000
1.11429,502.00000
1.11529,439.00000
1.11629,509.00000
1.11729,529.00000
1.11829,511.00000
1.11929,545.00000
1.12030,520.00000
1.12130,519.00000
1.12230,484.00000
1.12330,466.00000
1.12430,490.00000
1.12530,523.00000
1.12630,445.00000
1.12730,472.00000
1.12830,416.00000
1.12931,410.00000
1.13031,435.00000
1.13131,491.00000
1.13231,478.00000
1.13331,389.00000
1.13431,457.00000
1.13531,445.00000
1.13631,501.00000
1.13732,507.00000
1.13832,543.00000
1.13932,565.00000
1.14032,563.00000
1.14132,428.00000
1.14232,423.00000
1.14332,383.00000
1.14432,393.00000
1.14532,369.00000
1.14633,410.00000
1.14733,424.00000
1.14833,372.00000
1.14933,402.00000
1.15033,408.00000
1.15133,357.00000
1.15233,396.00000
1.15333,388.00000
1.15433,421.00000
1.15534,439.00000
1.15634,384.00000
1.15734,345.00000
1.15834,393.00000
1.15934,396.00000
1.16034,375.00000
1.16134,376.00000
1.16234,387.00000
1.16335,429.00000
1.16435,381.00000
1.16535,415.00000
1.16635,376.00000
1.16735,394.00000
1.16835,420.00000
1.16935,547.00000
1.17035,519.00000
1.17135,471.00000
1.17236,484.00000
1.17336,400.00000
1.17436,438.00000
1.17536,386.00000
1.17636,444.00000
1.17736,456.00000
1.17836,445.00000
1.17936,448.00000
1.18037,515.00000
1.18137,505.00000
1.18237,516.00000
1.18337,473.00000
1.18437,821.00000
1.18537,2236.00000
1.18637,683.00000
1.18737,1015.00000
1.18837,620.00000
1.18938,526.00000
1.19038,478.00000
1.19138,497.00000
1.19238,458.00000
1.19338,458.00000
1.19438,521.00000
1.19538,644.00000
1.19638,519.00000
1.19738,2881.00000
1.19839,4660.00000
1.19939,2934.00000
1.20039,3003.00000
1.20139,4737.00000
1.20239,4135.00000
1.20339,989.00000
1.20439,882.00000
1.20539,736.00000
1.20640,625.00000
1.20740,512.00000
1.20840,537.00000
1.20940,1116.00000
1.21040,576.00000
1.21140,550.00000
1.21240,557.00000
1.21340,607.00000
1.21440,618.00000
1.21541,671.00000
1.21641,609.00000
1.21741,738.00000
1.21841,669.00000
